"rank","city","state","pop_2015","pop_2010","land_area","latitude","longitude"
1,"New York","New York",8550405,8175133,783.8,"40.6643","-73.9385"
2,"Los Angeles","California",3971883,3792621,1213.9,"34.0194","-118.4108"
3,"Chicago","Illinois",2720546,2695598,589.6,"41.8376","-87.6818"
4,"Houston","Texas",2296224,2100263,1552.9,"29.7805","-95.3863"
5,"Philadelphia","Pennsylvania",1567442,1526006,347.3,"40.0094","-75.1333"
6,"Phoenix","Arizona",1563025,1445632,1338.3,"33.5722","-112.0880"
7,"San Antonio","Texas",1469845,1327407,1193.8,"29.4724","-98.5251"
8,"San Diego","California",1394928,1307402,842.2,"32.8153","-117.1350"
9,"Dallas","Texas",1300092,1197816,881.9,"32.7757","-96.7967"
10,"San Jose","California",1026908,945942,457.3,"37.2969","-121.8193"
11,"Austin","Texas",931830,790390,835.2,"30.3072","-97.7560"
12,"Jacksonville","Florida",868031,821784,1934.7,"30.3370","-81.6613"
13,"San Francisco","California",864816,805235,121.4,"37.7751","-122.4193"
14,"Indianapolis","Indiana",853173,820445,936.1,"39.7767","-86.1459"
15,"Columbus","Ohio",850106,787033,562.5,"39.9848","-82.9850"
16,"Fort Worth","Texas",833319,741206,880.1,"32.7795","-97.3463"
17,"Charlotte","North Carolina",827097,731424,771,"35.2087","-80.8307"
18,"Seattle","Washington",684451,608660,217.4,"47.6205","-122.3509"
19,"Denver","Colorado",682545,600158,396.3,"39.7618","-104.8806"
20,"El Paso","Texas",681124,649121,661.1,"31.8484","-106.4270"
21,"Detroit","Michigan",677116,713777,359.4,"42.3830","-83.1022"
22,"Washington","District of Columbia",672228,601723,158.1,"38.9041","-77.0171"
23,"Boston","Massachusetts",667137,617594,125,"42.3320","-71.0202"
24,"Memphis","Tennessee",655770,646889,816,"35.1035","-89.9785"
25,"Nashville","Tennessee",654610,601222,1230.8,"36.1718","-86.7850"
26,"Portland","Oregon",632309,583776,345.6,"45.5370","-122.6500"
27,"Oklahoma City","Oklahoma",631346,579999,1570.6,"35.4671","-97.5137"
28,"Las Vegas","Nevada",623747,583756,351.8,"36.2277","-115.2640"
29,"Baltimore","Maryland",621849,620961,209.6,"39.3002","-76.6105"
30,"Louisville","Kentucky",615366,597337,842.4,"38.1781","-85.6667"
31,"Milwaukee","Wisconsin",600155,594833,249,"43.0633","-87.9667"
32,"Albuquerque","New Mexico",559121,545852,486.2,"35.1056","-106.6474"
33,"Tucson","Arizona",531641,520116,587.2,"32.1543","-110.8711"
34,"Fresno","California",520052,494665,293.2,"36.7827","-119.7945"
35,"Sacramento","California",490712,466488,253.6,"38.5666","-121.4686"
36,"Kansas City","Missouri",475378,459787,815.7,"39.1252","-94.5511"
37,"Long Beach","California",474140,462257,130.3,"33.8091","-118.1553"
38,"Mesa","Arizona",471825,439041,353.4,"33.4019","-111.7174"
39,"Atlanta","Georgia",463878,420003,344.9,"33.7629","-84.4227"
40,"Colorado Springs","Colorado",456568,416427,503.9,"38.8673","-104.7607"
41,"Virginia Beach","Virginia",452745,437994,644.9,"36.7793","-76.0240"
42,"Raleigh","North Carolina",451066,403892,370.1,"35.8302","-78.6414"
43,"Omaha","Nebraska",443885,408958,329.2,"41.2647","-96.0419"
44,"Miami","Florida",441003,399457,92.9,"25.7752","-80.2086"
45,"Oakland","California",419267,390724,144.8,"37.7699","-122.2256"
46,"Minneapolis","Minnesota",410939,382578,139.8,"44.9633","-93.2683"
47,"Tulsa","Oklahoma",403505,391906,509.6,"36.1279","-95.9023"
48,"Wichita","Kansas",389965,382368,412.6,"37.6907","-97.3427"
49,"New Orleans","Louisiana",389617,343829,438.8,"30.0686","-89.9390"
