"rank","metro","pop_2015","pop_2010"
1,"New York",20182305,19567410
2,"Los Angeles",13340068,12828837
3,"Chicago",9551031,9461105
4,"Dallas",7102796,6426214
5,"Houston",6656947,5920416
6,"Washington",6097684,5636232
7,"Philadelphia",6069875,5965343
8,"Miami",6012331,5564635
9,"Atlanta",5710795,5286728
10,"Boston",4774321,4552402
11,"San Francisco",4656132,4335391
12,"Phoenix",4574531,4192887
13,"Riverside",4489159,4224851
14,"Detroit",4302043,4296250
15,"Seattle",3733580,3439809
16,"Minneapolis",3524583,3348859
17,"San Diego",3299521,3095313
18,"Tampa",2975225,2783243
19,"Denver",2814330,2543482
20,"St. Louis",2811588,2787701
21,"Baltimore",2797407,2710489
22,"Charlotte",2426363,2217012
23,"Portland",2389228,2226009
24,"Orlando",2387138,2134411
25,"San Antonio",2384075,2142508
26,"Pittsburgh",2353045,2356285
27,"Sacramento",2274194,2149127
28,"Cincinnati",2157719,2114580
29,"Las Vegas",2114801,1951269
30,"Kansas City",2087471,2009342
31,"Cleveland",2060810,2077240
32,"Columbus",2021632,1901974
33,"Austin",2000860,1716289
34,"Indianapolis",1988817,1887877
35,"San Jose",1976836,1836911
36,"Nashville",1830345,1670890
37,"Virginia Beach",1724876,1676822
38,"Providence",1613070,1600852
39,"Milwaukee",1575747,1555908
40,"Jacksonville",1449481,1345596
41,"Oklahoma City",1358452,1252987
42,"Memphis",1344127,1324829
43,"Louisville",1278413,1235708
44,"Raleigh",1273568,1130490
45,"Richmond",1271334,1208101
46,"New Orleans",1262888,1189866
47,"Hartford",1211324,1212381
48,"Salt Lake City",1170266,1087873
49,"Birmingham",1145647,1128047
50,"Buffalo",1135230,1135509
51,"Rochester",1081954,1079671
52,"Grand Rapids",1038583,988938
53,"Tucson",1010025,980263
54,"Urban Honolulu",998714,953207
55,"Tulsa",981005,937478
56,"Fresno",974861,930450
57,"Bridgeport",948053,916829
58,"Worcester",935536,916980
59,"Omaha",915312,865350
60,"Albuquerque",907301,887077
61,"Bakersfield",882176,839631
62,"Albany",881830,870716
63,"Greenville",874869,824112
64,"Knoxville",861424,837571
65,"New Haven",859470,862477
66,"Oxnard",850536,823318
67,"McAllen",842304,774769
68,"El Paso",838972,804123
69,"Allentown",832327,821173
70,"Baton Rouge",830480,802484
71,"Columbia",810068,767598
72,"Dayton",800909,799232
73,"North Port",768918,702281
74,"Greensboro",752157,723801
75,"Charleston",744526,664607
76,"Little Rock",731612,699757
77,"Stockton",726106,685306
78,"Akron",704243,703200
79,"Cape Coral",701982,618754
80,"Colorado Springs",697856,645613
81,"Boise City",676909,616561
82,"Syracuse",660458,662577
83,"Winston",659330,640595
84,"Lakeland",650092,602095
85,"Toledo",646833,651429
86,"Wichita",644610,630919
87,"Ogden",642850,597159
88,"Madison",641385,605435
89,"Springfield",631982,621570
90,"Deltona",623279,590289
91,"Des Moines",622899,569633
92,"Augusta",590146,564873
93,"Provo",585799,526810
94,"Jackson",578777,567122
95,"Palm Bay",568088,543376
96,"Harrisburg",565006,549475
97,"Scranton",558166,563631
98,"Durham",552493,504357
99,"Youngstown",549885,565773
100,"Spokane",547924,527753
101,"Chattanooga",547776,528143
102,"Modesto",538388,514453
103,"Lancaster",536624,519445
104,"Portland",526295,514098
105,"Fayetteville",513559,463204
106,"Santa Rosa",502146,483878
107,"Lexington",500535,472099
108,"Lafayette",490488,466750
109,"Pensacola",478043,448991
110,"Lansing",472276,464036
111,"Visalia",459863,442179
112,"Springfield",456456,436712
113,"Port St. Lucie",454846,424107
114,"Corpus Christi",452422,428185
115,"Reno",450890,425417
116,"Asheville",446840,424858
117,"Santa Maria",444769,423895
118,"Huntsville",444752,417593
119,"Shreveport",443708,439811
120,"York",442867,434972
121,"Vallejo",436092,413344
122,"Salinas",433898,415057
123,"Myrtle Beach",431964,376722
124,"Killeen",431032,405300
125,"Fort Wayne",429820,416257
126,"Brownsville",422156,406220
127,"Mobile",415395,412992
128,"Reading",415271,411442
129,"Flint",410849,425790
130,"Salem",410091,390738
131,"Beaumont",408419,403190
132,"Manchester",406678,400721
133,"Canton",402976,404422
134,"Anchorage",399790,380821
135,"Salisbury",395300,373802
136,"Gulfport",389255,370702
137,"Davenport",383606,379690
138,"Savannah",379199,347611
139,"Peoria",378018,379186
140,"Tallahassee",377924,367413
141,"Fayetteville",376509,366383
142,"Montgomery",373792,374536
143,"Trenton",371398,366513
144,"Eugene",362895,351715
145,"Hickory",362510,365497
146,"Huntington",361580,364908
147,"Ann Arbor",358880,344791
148,"Naples",357305,321520
149,"Ocala",343254,331298
150,"Rockford",340663,349431
151,"Kalamazoo",335340,326589
152,"Fort Collins",333577,299630
153,"Spartanburg",325079,313268
154,"Lincoln",323578,302157
155,"South Bend",320098,319224
156,"Boulder",319372,294567
157,"Green Bay",316519,306241
158,"Evansville",315693,311552
159,"Roanoke",314560,308707
160,"Columbus",313749,294865
161,"Lubbock",311154,290805
162,"Kingsport",307120,309544
163,"Utica",295600,299397
164,"Greeley",285174,252825
165,"San Luis Obispo",281401,269637
166,"Clarksville",281021,260625
167,"Fort Smith",280241,280467
168,"Duluth",279601,279771
169,"Kennewick",279116,253340
170,"Erie",278045,280566
171,"Wilmington",277969,254884
172,"Gainesville",277163,264275
173,"Atlantic City",274219,274549
174,"Santa Cruz",274146,262382
175,"Norwich",271863,274055
176,"Laredo",269721,250304
177,"Olympia",269536,252264
178,"Merced",268455,255793
179,"Cedar Rapids",266040,257940
180,"Waco",262813,252772
181,"Crestview",262172,235865
182,"Amarillo",262056,251933
183,"Hagerstown",261486,251599
184,"Bremerton",260131,251133
185,"Lynchburg",259950,252634
186,"Sioux Falls",251854,228261
187,"College Station",249156,228660
188,"Yakima",248830,243231
189,"Binghamton",246020,251725
190,"Tuscaloosa",239908,230162
191,"Champaign",238984,231891
192,"Fargo",233836,208777
193,"Topeka",233791,233870
194,"Appleton",233007,225666
195,"Macon",230096,232293
196,"Charlottesville",229514,218705
197,"Chico",225411,220000
198,"Tyler",222936,209714
199,"Prescott",222255,211033
200,"Charleston",220614,227078
201,"Longview",217781,214369
202,"Burlington",214363,211261
203,"Lafayette",214363,201789
204,"Barnstable Town",214333,215888
205,"Las Cruces",214295,209233
206,"Rochester",213873,206877
207,"Medford",212567,203206
208,"Houma",212297,208178
209,"Bellingham",212284,201140
210,"Springfield",211156,210170
211,"Hilton Head Island",207413,187010
212,"Florence",206448,205566
213,"Lake Charles",205605,199607
214,"Lake Havasu City",204737,200186
215,"Yuma",204275,195751
216,"Daphne",203709,182265
217,"Elkhart",203474,197559
218,"Athens",203189,192541
219,"Johnson City",200648,198716
220,"Panama City",197506,184715
